,FR_ES,ES_FR,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export
2026-01-09 22:00:00+00:00,550.27,0.0,2116.78,0.0,-550.27,2116.78,1566.5100000000002
2026-01-09 23:00:00+00:00,0.0,469.29,2146.07,0.0,469.29,2146.07,2615.36
2026-01-10 00:00:00+00:00,0.0,1861.16,2058.96,0.0,1861.16,2058.96,3920.12
2026-01-10 01:00:00+00:00,0.0,2499.27,2013.8500000000001,0.0,2499.27,2013.8500000000001,4513.12
2026-01-10 02:00:00+00:00,0.0,1748.0900000000001,2473.89,0.0,1748.0900000000001,2473.89,4221.98
2026-01-10 03:00:00+00:00,0.0,1023.64,2581.26,0.0,1023.64,2581.26,3604.9
2026-01-10 04:00:00+00:00,0.0,756.13,2518.74,0.0,756.13,2518.74,3274.87
2026-01-10 05:00:00+00:00,0.0,1546.2,1804.28,0.0,1546.2,1804.28,3350.48
2026-01-10 06:00:00+00:00,0.0,1439.0,1263.79,0.0,1439.0,1263.79,2702.79
2026-01-10 07:00:00+00:00,0.0,845.0,938.71,0.0,845.0,938.71,1783.71
2026-01-10 08:00:00+00:00,0.0,1838.1,264.23,50.0,1838.1,214.23000000000002,2052.33
2026-01-10 09:00:00+00:00,0.0,3247.44,1682.0700000000002,0.0,3247.44,1682.0700000000002,4929.51
2026-01-10 10:00:00+00:00,0.0,3247.1,3394.39,0.0,3247.1,3394.39,6641.49
2026-01-10 11:00:00+00:00,0.0,3196.3599999999997,4091.92,0.0,3196.3599999999997,4091.92,7288.28
2026-01-10 12:00:00+00:00,0.0,3182.59,4498.32,0.0,3182.59,4498.32,7680.91
2026-01-10 13:00:00+00:00,0.0,3210.94,4528.32,0.0,3210.94,4528.32,7739.26
2026-01-10 14:00:00+00:00,0.0,3069.68,4214.75,0.0,3069.68,4214.75,7284.43
2026-01-10 15:00:00+00:00,0.0,3159.9700000000003,3350.05,0.0,3159.9700000000003,3350.05,6510.02
2026-01-10 16:00:00+00:00,0.0,3056.11,1118.26,0.0,3056.11,1118.26,4174.37
2026-01-10 17:00:00+00:00,0.0,3047.15,14.81,244.32999999999998,3047.15,-229.51999999999998,2817.63
2026-01-10 18:00:00+00:00,0.0,2949.3,0.0,112.46000000000001,2949.3,-112.46000000000001,2836.84
2026-01-10 19:00:00+00:00,0.0,2171.85,195.75,5.67,2171.85,190.08,2361.93
2026-01-10 20:00:00+00:00,191.37,322.56,648.49,0.0,131.19,648.49,779.6800000000001
2026-01-10 21:00:00+00:00,34.91,855.74,449.71,0.0,820.83,449.71,1270.54
2026-01-10 22:00:00+00:00,0.0,1965.41,74.35000000000001,13.13,1965.41,61.220000000000006,2026.63
2026-01-10 23:00:00+00:00,0.0,2914.63,665.49,0.0,2914.63,665.49,3580.12
2026-01-11 00:00:00+00:00,0.0,2803.75,1768.8899999999999,0.0,2803.75,1768.8899999999999,4572.639999999999
2026-01-11 01:00:00+00:00,0.0,2944.87,2040.88,0.0,2944.87,2040.88,4985.75
2026-01-11 02:00:00+00:00,0.0,2949.2400000000002,1901.37,0.0,2949.2400000000002,1901.37,4850.610000000001
2026-01-11 03:00:00+00:00,0.0,3140.13,1443.59,0.0,3140.13,1443.59,4583.72
2026-01-11 04:00:00+00:00,0.0,3214.33,1159.51,0.0,3214.33,1159.51,4373.84
2026-01-11 05:00:00+00:00,0.0,2896.7,1002.87,0.0,2896.7,1002.87,3899.5699999999997
2026-01-11 06:00:00+00:00,0.0,2306.74,838.62,0.0,2306.74,838.62,3145.3599999999997
2026-01-11 07:00:00+00:00,0.0,2802.6400000000003,269.12,63.72,2802.6400000000003,205.4,3008.0400000000004
2026-01-11 08:00:00+00:00,0.0,2777.64,633.46,17.35,2777.64,616.11,3393.75
2026-01-11 09:00:00+00:00,0.0,2874.9,2404.42,0.0,2874.9,2404.42,5279.32
2026-01-11 10:00:00+00:00,0.0,2843.95,3063.97,0.0,2843.95,3063.97,5907.92
2026-01-11 11:00:00+00:00,0.0,2985.94,3732.67,0.0,2985.94,3732.67,6718.610000000001
2026-01-11 12:00:00+00:00,0.0,2701.4700000000003,3913.88,0.0,2701.4700000000003,3913.88,6615.35
