,NO_2_NO_1,NO_1_NO_2,SE_3_NO_1,NO_1_SE_3,NO_1_NO_3,NO_3_NO_1,NO_1_NO_5,NO_5_NO_1,NO_1_NO_2_net_export,NO_1_NO_3_net_export,NO_1_NO_5_net_export,NO_1_SE_3_net_export,Net Export
2026-01-16 17:00:00+00:00,3.26936375,47.0729315,321.68183275,0.0,0.0,284.583775,0.0,2528.120887,43.80356775,-284.583775,-2528.120887,-321.68183275,-3090.582927
2026-01-16 18:00:00+00:00,0.0,449.63731125,693.96998975,0.0,0.0,281.542752,0.0,2475.633412,449.63731125,-281.542752,-2475.633412,-693.96998975,-3001.5088425
2026-01-16 19:00:00+00:00,0.0,757.355914,918.4406857500001,0.0,0.0,299.70565675,0.0,2427.70228975,757.355914,-299.70565675,-2427.70228975,-918.4406857500001,-2888.4927182500005
2026-01-16 20:00:00+00:00,0.0,1085.0856365,1090.14497725,0.0,0.0,293.6001715,0.0,2374.2342975,1085.0856365,-293.6001715,-2374.2342975,-1090.14497725,-2672.8938097500004
2026-01-16 21:00:00+00:00,0.0,1445.4902777500001,1250.5696185,0.0,0.0,305.8275895,0.0,2431.2053287500003,1445.4902777500001,-305.8275895,-2431.2053287500003,-1250.5696185,-2542.112259
2026-01-16 22:00:00+00:00,0.0,1632.95938675,1377.3085325,0.0,0.0,317.0846215,0.0,2348.11228225,1632.95938675,-317.0846215,-2348.11228225,-1377.3085325,-2409.5460494999998
2026-01-16 23:00:00+00:00,0.0,1724.50201075,1792.97351325,0.0,0.0,345.85222675,0.0,1844.0409605,1724.50201075,-345.85222675,-1844.0409605,-1792.97351325,-2258.3646897500003
2026-01-17 00:00:00+00:00,0.0,1999.733172,1930.9380449999999,0.0,0.0,398.77085925,0.0,1950.447496,1999.733172,-398.77085925,-1950.447496,-1930.9380449999999,-2280.4232282499997
2026-01-17 01:00:00+00:00,0.0,1943.144631,1798.20279625,0.0,0.0,408.2778395,0.0,1941.6599757499998,1943.144631,-408.2778395,-1941.6599757499998,-1798.20279625,-2204.9959805
2026-01-17 02:00:00+00:00,0.0,1979.43460075,1887.74931225,0.0,0.0,406.788405,0.0,1764.07520675,1979.43460075,-406.788405,-1764.07520675,-1887.74931225,-2079.17832325
2026-01-17 03:00:00+00:00,0.0,2004.61458625,1933.35064775,0.0,0.0,401.713447,0.0,1798.7116295,2004.61458625,-401.713447,-1798.7116295,-1933.35064775,-2129.161138
2026-01-17 04:00:00+00:00,0.0,1938.702152,1822.7964470000002,0.0,0.0,423.84764675,0.0,1885.2584805000001,1938.702152,-423.84764675,-1885.2584805000001,-1822.7964470000002,-2193.20042225
2026-01-17 05:00:00+00:00,0.0,1735.6194392500001,1685.44463175,0.0,0.0,419.2951575,0.0,1959.88080575,1735.6194392500001,-419.2951575,-1959.88080575,-1685.44463175,-2329.00115575
2026-01-17 06:00:00+00:00,0.0,1294.6212845,1231.5021610000001,0.0,0.0,404.10963125,0.0,2084.9638935000003,1294.6212845,-404.10963125,-2084.9638935000003,-1231.5021610000001,-2425.95440125
2026-01-17 07:00:00+00:00,0.0,1251.63859675,1093.69044725,0.0,0.0,415.032577,0.0,2376.49624175,1251.63859675,-415.032577,-2376.49624175,-1093.69044725,-2633.58066925
2026-01-17 08:00:00+00:00,0.0,804.09334075,661.5002059999999,0.0,0.0,380.73325975,0.0,2605.40885375,804.09334075,-380.73325975,-2605.40885375,-661.5002059999999,-2843.54897875
