,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-06 16:00:00+00:00,21.09327775,510.43775875,73.21803675,93.06891775,1.425e-05,103.21753575,251.86416425000002,1052.8997052500001,22.2413615,0.0,2171.86318,1075.1410667500002,2171.86318,-1096.7221132499997
2026-02-06 17:00:00+00:00,21.11,508.30771500000003,51.32101525,85.111687,0.0,104.1354755,223.68161425,993.6675069999999,16.06192375,0.0,2124.9247175,1009.7294307499999,2124.9247175,-1115.1952867500002
2026-02-06 18:00:00+00:00,21.11,505.8487475,62.66581975,73.6304555,0.0,105.170005,197.83305275,966.2580805,7.11360875,0.0,2049.814905,973.37168925,2049.814905,-1076.44321575
2026-02-06 19:00:00+00:00,21.11,510.673057,62.2997595,72.9000125,0.0,104.623867,179.3343825,950.9410785,3.843645,0.0,1945.8442575,954.7847235,1945.8442575,-991.0595339999999
2026-02-06 20:00:00+00:00,21.11,430.97892125,43.17146075,64.7545875,0.0,105.0778665,173.42553525,838.51837125,1.569983,0.0,1818.0529725000001,840.08835425,1818.0529725000001,-977.9646182500002
2026-02-06 21:00:00+00:00,21.11,83.64712475,30.558961,71.843041,0.0,103.500773,180.58503075,491.2449305,5.80886575,0.0,1711.3391525,497.05379625,1711.3391525,-1214.28535625
2026-02-06 22:00:00+00:00,21.11,80.41387375,36.02631575,59.78450225,0.0,103.71257225,164.2004195,465.2476835,0.0,0.0,1635.0570825,465.2476835,1635.0570825,-1169.809399
2026-02-06 23:00:00+00:00,21.11,80.37031375,24.30671575,61.8179425,0.0,105.499308,153.1158725,446.2201524999999,13.96465375,0.0,1581.7258275,460.18480624999995,1581.7258275,-1121.54102125
2026-02-07 00:00:00+00:00,21.10886825,80.329709,24.28979,52.255497,0.0,105.2007375,156.68883125,439.873433,0.37679025,0.0,1552.01193,440.25022325,1552.01193,-1111.76170675
2026-02-07 01:00:00+00:00,21.049999,80.380957,24.292599250000002,43.35752075,0.0,104.958771,143.22985925,417.26970625,0.0,0.0,1532.32785,417.26970625,1532.32785,-1115.05814375
2026-02-07 02:00:00+00:00,21.049999,80.37590725,24.298741,44.07999875,0.0,105.38240375000001,142.0917,417.27874975000003,0.0,0.0,1524.90998,417.27874975000003,1524.90998,-1107.6312302499998
2026-02-07 03:00:00+00:00,21.049999,80.46506525000001,24.2878325,49.0356995,0.0,105.23979675,139.28978925,419.36818225,0.0,0.0,1546.5568524999999,419.36818225,1546.5568524999999,-1127.1886702499999
2026-02-07 04:00:00+00:00,21.049999,80.35241275,24.294988,48.71036175,0.0,105.15893575,143.16269025,422.72938750000003,0.0,0.0,1623.470565,422.72938750000003,1623.470565,-1200.7411775
2026-02-07 05:00:00+00:00,21.079276750000002,80.348911,35.4213655,69.773163,0.32033725,104.52292875,144.470014,455.93599625,1.8991209999999998,0.0,1715.17999,457.83511725,1715.17999,-1257.3448727500001
2026-02-07 06:00:00+00:00,21.1,80.3528095,48.7294305,73.50909,7.905144,104.13645775,156.97713975,492.7100715,0.32486975,0.0,1820.0176225,493.03494125000003,1820.0176225,-1326.98268125
2026-02-07 07:00:00+00:00,21.1,80.3257155,42.944441,88.83315825,32.896182749999994,104.92241924999999,156.40480575,527.4267225,13.8066505,0.0,1948.2625125,541.233373,1948.2625125,-1407.0291395
2026-02-07 08:00:00+00:00,21.1,80.14957325,29.92600375,102.7642035,60.62422525,105.29687725,161.95179325,561.81267625,31.166334,0.0,2023.9758550000001,592.97901025,2023.9758550000001,-1430.99684475
2026-02-07 09:00:00+00:00,21.1,80.27807375,49.40891425,86.50016675,75.93806875,105.35803225000001,159.9155085,578.49876425,14.2806225,0.0,2039.44778,592.7793867500001,2039.44778,-1446.66839325
2026-02-07 10:00:00+00:00,20.631226249999997,80.209255,36.68544375,59.83897125,80.439515,105.568229,168.064183,551.4368232500001,0.5250415,0.0,2024.4566775,551.9618647500001,2024.4566775,-1472.49481275
2026-02-07 11:00:00+00:00,21.04396575,80.30932575,24.258675500000003,50.672470000000004,71.7120395,105.68072575,173.11738250000002,526.79458475,0.0,0.0,1996.552905,526.79458475,1996.552905,-1469.75832025
2026-02-07 12:00:00+00:00,21.10593,80.05024475,24.25856275,47.219853,52.93926425,105.65242599999999,194.9993485,526.22562925,0.0,0.0,1957.8872175,526.22562925,1957.8872175,-1431.66158825
2026-02-07 13:00:00+00:00,21.175933,80.15353625,24.25736275,47.78998075,27.345233999999998,105.9710415,234.22207025,540.9151585,0.0,0.0,1928.694215,540.9151585,1928.694215,-1387.7790565
2026-02-07 14:00:00+00:00,21.1214715,80.13932625,24.25120325,65.28315375,5.92236475,105.1635435,279.2001835,581.0812464999999,2.6963002499999997,0.0,1919.1592925,583.7775467499999,1919.1592925,-1335.38174575
2026-02-07 15:00:00+00:00,21.042333,80.27041125,24.237741749999998,77.676978,0.1859235,104.681648,319.70246599999996,627.7975015,166.4074675,0.0,1962.1579075,794.2049689999999,1962.1579075,-1167.9529385
2026-02-07 16:00:00+00:00,21.0529985,80.12300575,43.13748775,84.48484025,1.675e-05,104.0065765,397.62416575,730.4290912499999,188.50221224999999,0.0,1980.839955,918.9313034999999,1980.839955,-1061.9086515
2026-02-07 17:00:00+00:00,21.059999,80.12409149999999,49.473197,77.41756625,0.0,103.73095574999999,447.5161015,779.321911,165.136109,0.0,1938.9284525,944.45802,1938.9284525,-994.4704325
2026-02-07 18:00:00+00:00,21.059999,80.193301,24.2936905,67.66263925,0.0,104.27304825,466.21566875,763.69834675,3.0870180000000005,0.0,1874.832605,766.7853647500001,1874.832605,-1108.04724025
2026-02-07 19:00:00+00:00,21.004068750000002,80.2982995,24.22663375,47.0802215,0.0,104.80322525,494.64833475,772.0607835000001,0.79053825,0.0,1788.9463250000001,772.8513217500001,1788.9463250000001,-1016.09500325
2026-02-07 20:00:00+00:00,20.9736115,80.32608325000001,24.226951,44.8549345,0.0,104.424212,492.08774700000004,766.89353925,0.0,0.0,1673.2392175,766.89353925,1673.2392175,-906.34567825
2026-02-07 21:00:00+00:00,21.04,79.983558,24.219852500000002,67.30511575,0.0,104.15357850000001,483.41568725,780.117792,10.828440500000001,0.0,1576.0575725,790.9462325000001,1576.0575725,-785.11134
2026-02-07 22:00:00+00:00,21.04,80.4678415,24.222687,43.723242,0.0,103.85710975,518.200475,791.51135525,0.0,0.0,1509.644175,791.51135525,1509.644175,-718.13281975
