,Fossil Gas,Hydro Run-of-river and poundage,Wind Onshore,Hydro Water Reservoir,Other renewable,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-23 09:00:00+00:00,137.614227,198.560749,517.291518,3089.99826575,24.887832250000002,3968.3525919999997,0.0,0.0,2944.065,3968.3525919999997,2944.065,1024.2875919999997
2026-02-23 10:00:00+00:00,138.07113125,203.02021375,478.3862905,3115.757897,28.830115499999998,3964.065648,0.0,0.0,2890.6825,3964.065648,2890.6825,1073.383148
2026-02-23 11:00:00+00:00,137.94936425,202.2786275,489.70878675,3126.2293945,28.093481,3984.259654,0.0,0.0,2849.545,3984.259654,2849.545,1134.7146539999999
2026-02-23 12:00:00+00:00,138.16940625,199.774365,481.33720600000004,3181.6239775,28.029130000000002,4028.93408475,0.0,0.0,2827.705,4028.93408475,2827.705,1201.2290847499999
2026-02-23 13:00:00+00:00,137.9990315,197.77888425,501.90396975,3210.06956625,28.36530425,4076.1167560000004,0.0,0.0,2834.335,4076.1167560000004,2834.335,1241.7817560000003
2026-02-23 14:00:00+00:00,138.340519,195.96538800000002,461.85876525000003,3200.588612,27.1668295,4023.92011375,0.0,0.0,2843.1549999999997,4023.92011375,2843.1549999999997,1180.7651137500002
2026-02-23 15:00:00+00:00,139.57245375,196.5510135,453.613007,3208.52070025,26.969483,4025.2266575,0.0,0.0,2863.2325,4025.2266575,2863.2325,1161.9941574999998
2026-02-23 16:00:00+00:00,145.197837,195.21858025,429.71849025,3228.9022812499998,26.49875425,4025.5359429999994,0.0,0.0,2877.17,4025.5359429999994,2877.17,1148.3659429999993
2026-02-23 17:00:00+00:00,143.54708825,196.6627305,393.1469365,3214.68126025,26.1547705,3974.1927859999996,0.0,0.0,2877.08,3974.1927859999996,2877.08,1097.1127859999997
2026-02-23 18:00:00+00:00,145.89809325,196.3337335,366.97311175,3211.22385575,24.893087,3945.32188125,0.0,0.0,2878.665,3945.32188125,2878.665,1066.65688125
2026-02-23 19:00:00+00:00,142.5157655,195.36101225,323.864983,3218.28776325,25.67780225,3905.7073262499994,0.0,0.0,2892.0775,3905.7073262499994,2892.0775,1013.6298262499995
2026-02-23 20:00:00+00:00,142.75012900000002,196.074424,285.98929925,3201.5016385,24.77992425,3851.0954150000002,0.0,0.0,2885.955,3851.0954150000002,2885.955,965.1404150000003
2026-02-23 21:00:00+00:00,142.6216495,195.759566,234.46320125,3166.2124440000002,26.003670999999997,3765.06053175,0.0,0.0,2841.245,3765.06053175,2841.245,923.81553175
2026-02-23 22:00:00+00:00,141.236276,197.6342105,241.33373925,3181.35343125,25.667229499999998,3787.2248865,0.0,0.0,2804.6000000000004,3787.2248865,2804.6000000000004,982.6248864999998
2026-02-23 23:00:00+00:00,140.50876525,173.53683775000002,243.7728795,3184.004503,26.186361,3768.0093465,0.0,0.0,2726.6375,3768.0093465,2726.6375,1041.3718465000002
2026-02-24 00:00:00+00:00,140.793003,194.70227,235.67836425000002,3203.3265115,26.980442500000002,3801.48059125,0.0,0.0,2731.0550000000003,3801.48059125,2731.0550000000003,1070.4255912499998
2026-02-24 01:00:00+00:00,140.96284175,172.232923,214.2606905,3149.7326000000003,25.6429235,3702.8319787500004,0.0,0.0,2705.3025,3702.8319787500004,2705.3025,997.5294787500006
2026-02-24 02:00:00+00:00,141.10776075,172.230714,233.857419,3172.683332,25.91619425,3745.79542,0.0,0.0,2692.4425,3745.79542,2692.4425,1053.3529199999998
2026-02-24 03:00:00+00:00,141.5974795,170.1120455,262.226558,3169.40193375,26.08899325,3769.42701,0.0,0.0,2690.1724999999997,3769.42701,2690.1724999999997,1079.2545100000002
2026-02-24 04:00:00+00:00,141.73560824999998,169.81912325000002,275.95203925,3177.27440475,24.1689935,3788.950169,0.0,0.0,2711.335,3788.950169,2711.335,1077.6151690000002
2026-02-24 05:00:00+00:00,142.13164675,166.68532399999998,271.9011855,3175.94033325,21.999712,3778.6582015,0.0,0.0,2797.17,3778.6582015,2797.17,981.4882014999998
2026-02-24 06:00:00+00:00,142.34695225000002,188.8460505,260.51810375,3200.5489845,20.17364975,3812.43374075,0.0,0.0,2937.54,3812.43374075,2937.54,874.8937407500002
2026-02-24 07:00:00+00:00,142.3313105,194.1451725,260.679238,3259.0244350000003,19.982096249999998,3876.16225225,0.0,0.0,2964.5525,3876.16225225,2964.5525,911.6097522500004
2026-02-24 08:00:00+00:00,140.916943,192.60297175,253.781314,3240.5313375,22.0328615,3849.86542775,0.0,0.0,2977.965,3849.86542775,2977.965,871.9004277499998
2026-02-24 09:00:00+00:00,139.12748925,203.48576125,188.73149325,3226.74389025,21.116746,3779.20538,0.0,0.0,2935.3175,3779.20538,2935.3175,843.8878799999998
2026-02-24 10:00:00+00:00,140.88407225,208.58322975000002,212.37075675,3192.48372,21.251782249999998,3775.573561,0.0,0.0,2911.5275,3775.573561,2911.5275,864.046061
2026-02-24 11:00:00+00:00,146.62355399999998,206.709691,205.52425775,3169.820089,21.531028,3750.20861975,0.0,0.0,2862.41,3750.20861975,2862.41,887.79861975
2026-02-24 12:00:00+00:00,141.98370599999998,206.6295465,184.11237825,3152.30854,22.75182475,3707.7859955000004,0.0,0.0,2863.4025,3707.7859955000004,2863.4025,844.3834955000002
2026-02-24 13:00:00+00:00,147.00260375,205.9559025,237.8873085,3142.579354,21.79894325,3755.224112,0.0,0.0,2852.9225,3755.224112,2852.9225,902.3016119999997
2026-02-24 14:00:00+00:00,147.205337,205.3810625,233.84101199999998,3176.876611,21.0876495,3784.391672,0.0,0.0,2867.87,3784.391672,2867.87,916.5216720000003
2026-02-24 15:00:00+00:00,147.139488,204.50757325,214.33565825,3235.7798605,21.3047375,3823.0673174999997,0.0,0.0,2841.6675,3823.0673174999997,2841.6675,981.3998174999997
2026-02-24 16:00:00+00:00,147.57382,203.32684525000002,244.0268475,3280.8739557500003,21.94192825,3897.74339675,0.0,0.0,2886.5,3897.74339675,2886.5,1011.2433967500001
2026-02-24 17:00:00+00:00,143.08345925,206.5937945,332.7941285,3251.54491925,22.2326645,3956.2489659999997,0.0,0.0,2888.1075,3956.2489659999997,2888.1075,1068.1414659999996
2026-02-24 18:00:00+00:00,141.9359725,201.75451825,404.51613150000003,3242.75672075,19.6421065,4010.6054495000003,0.0,0.0,2904.67,4010.6054495000003,2904.67,1105.9354495000002
2026-02-24 19:00:00+00:00,142.0597275,200.6151255,436.1989005,3198.47062025,21.6302255,3998.97459925,0.0,0.0,2873.0175,3998.97459925,2873.0175,1125.9570992500003
2026-02-24 20:00:00+00:00,142.00845099999998,192.59024225000002,487.701882,3177.4071355,20.5232365,4020.23094725,0.0,0.0,2865.8425,4020.23094725,2865.8425,1154.38844725
