,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other
2026-02-07 19:00:00+00:00,0.0,69.93023664248506,0.0,643.800096408942,22.14723749708876,2.7689407349382136,0.0,0.0,16.101820356081205,0.0,3.126668360464823
2026-02-07 20:00:00+00:00,0.0,88.3933644920381,0.0,785.0621450974595,23.672702966701056,2.9343441201152727,0.0,0.0,17.149014010586548,0.0,4.3384293130994545
2026-02-07 21:00:00+00:00,0.0,126.25793752352958,0.0,986.5417678429105,20.271692162843483,2.8796982300616434,0.0,0.0,14.393192599910293,0.0,7.205711640744493
2026-02-07 22:00:00+00:00,0.0,188.31473256399937,0.0,1109.4180246224357,20.339293403449304,2.9819744585786054,0.0,0.0,14.752675871115281,0.0,8.868299080421725
2026-02-07 23:00:00+00:00,0.0,135.6735450026572,0.0,695.5106617975215,22.488539248082784,3.657752774804048,0.0,0.0,18.03700436672783,0.0,3.7074968102067256
2026-02-08 00:00:00+00:00,0.0,168.48467510094773,0.0,521.4608908186852,8.927592620976982,1.4113091849553936,0.07038469734539284,0.0,6.826812456665669,0.00010528886752275713,4.768229831556017
2026-02-08 01:00:00+00:00,0.0,245.33310910417345,0.0,588.0157573271032,8.927952478777366,1.4266995495054549,0.042879890255252684,0.0,6.820757960199594,0.00024362506727230144,5.882600064918375
2026-02-08 02:00:00+00:00,0.0,334.9137727183767,0.0,747.752999088254,14.708686519993547,2.3557321238413773,0.0,0.0,11.826133329133201,0.0,6.5676762204010615
2026-02-08 03:00:00+00:00,0.0,427.27335460549904,0.0,894.1795747651793,18.53501033506025,3.143031126614241,0.0,0.0,15.10688069397766,0.0,7.6371484736696
2026-02-08 04:00:00+00:00,0.0,470.03398739572265,0.0,974.0711530957225,17.59511735232967,3.5805883779817558,0.0,0.0,14.347105650867032,0.0,8.7220481273763
2026-02-08 05:00:00+00:00,0.0,537.7853659695406,0.0,944.875644612085,4.774207151520507,0.8177149690105056,0.0,0.0,3.896310079383652,0.0,10.475757218459803
2026-02-08 06:00:00+00:00,0.0,501.7618320631376,0.0,902.6946829594035,0.271683766769057,0.03910195594706139,0.0,0.0,0.21994313933412327,0.0,10.68775611540846
2026-02-08 07:00:00+00:00,0.0017539668004593581,485.3075455177732,0.0,1004.7943231730432,0.0,0.0,0.0,0.0,0.0,0.0,11.321377342383213
